,metric,year,value
0,global-temperature,1880.0,-0.11
1,global-temperature,1881.0,-0.14
2,global-temperature,1882.0,-0.18
3,global-temperature,1883.0,-0.21
4,global-temperature,1884.0,-0.25
5,global-temperature,1885.0,-0.27
6,global-temperature,1886.0,-0.28
7,global-temperature,1887.0,-0.28
8,global-temperature,1888.0,-0.27
9,global-temperature,1889.0,-0.26
10,global-temperature,1890.0,-0.26
11,global-temperature,1891.0,-0.26
12,global-temperature,1892.0,-0.27
13,global-temperature,1893.0,-0.27
14,global-temperature,1894.0,-0.25
15,global-temperature,1895.0,-0.23
16,global-temperature,1896.0,-0.21
17,global-temperature,1897.0,-0.19
18,global-temperature,1898.0,-0.17
19,global-temperature,1899.0,-0.18
20,global-temperature,1900.0,-0.21
21,global-temperature,1901.0,-0.24
22,global-temperature,1902.0,-0.27
23,global-temperature,1903.0,-0.29
24,global-temperature,1904.0,-0.32
25,global-temperature,1905.0,-0.34
26,global-temperature,1906.0,-0.36
27,global-temperature,1907.0,-0.38
28,global-temperature,1908.0,-0.39
29,global-temperature,1909.0,-0.41
30,global-temperature,1910.0,-0.42
31,global-temperature,1911.0,-0.4
32,global-temperature,1912.0,-0.36
33,global-temperature,1913.0,-0.33
34,global-temperature,1914.0,-0.32
35,global-temperature,1915.0,-0.31
36,global-temperature,1916.0,-0.3
37,global-temperature,1917.0,-0.3
38,global-temperature,1918.0,-0.3
39,global-temperature,1919.0,-0.3
40,global-temperature,1920.0,-0.28
41,global-temperature,1921.0,-0.27
42,global-temperature,1922.0,-0.26
43,global-temperature,1923.0,-0.24
44,global-temperature,1924.0,-0.23
45,global-temperature,1925.0,-0.22
46,global-temperature,1926.0,-0.22
47,global-temperature,1927.0,-0.21
48,global-temperature,1928.0,-0.2
49,global-temperature,1929.0,-0.19
50,global-temperature,1930.0,-0.19
51,global-temperature,1931.0,-0.19
52,global-temperature,1932.0,-0.18
53,global-temperature,1933.0,-0.17
54,global-temperature,1934.0,-0.16
55,global-temperature,1935.0,-0.14
56,global-temperature,1936.0,-0.11
57,global-temperature,1937.0,-0.06
58,global-temperature,1938.0,-0.02
59,global-temperature,1939.0,0.03
60,global-temperature,1940.0,0.06
61,global-temperature,1941.0,0.09
62,global-temperature,1942.0,0.1
63,global-temperature,1943.0,0.1
64,global-temperature,1944.0,0.07
65,global-temperature,1945.0,0.04
66,global-temperature,1946.0,-0.07
67,global-temperature,1947.0,-0.04
68,global-temperature,1948.0,-0.07
69,global-temperature,1949.0,-0.08
70,global-temperature,1950.0,-0.08
71,global-temperature,1951.0,-0.07
72,global-temperature,1952.0,-0.07
73,global-temperature,1953.0,-0.07
74,global-temperature,1954.0,-0.07
75,global-temperature,1955.0,-0.06
76,global-temperature,1956.0,-0.05
77,global-temperature,1957.0,-0.04
78,global-temperature,1958.0,-0.01
79,global-temperature,1959.0,0.01
80,global-temperature,1960.0,0.03
81,global-temperature,1961.0,0.01
82,global-temperature,1962.0,-0.01
83,global-temperature,1963.0,-0.03
84,global-temperature,1964.0,-0.04
85,global-temperature,1965.0,-0.05
86,global-temperature,1966.0,-0.06
87,global-temperature,1967.0,-0.05
88,global-temperature,1968.0,-0.03
89,global-temperature,1969.0,-0.02
90,global-temperature,1970.0,0.03
91,global-temperature,1971.0,-0.08
92,global-temperature,1972.0,0.01
93,global-temperature,1973.0,0.16
94,global-temperature,1974.0,0.01
95,global-temperature,1975.0,0.02
96,global-temperature,1976.0,0.04
97,global-temperature,1977.0,0.07
98,global-temperature,1978.0,0.12
99,global-temperature,1979.0,0.16
100,global-temperature,1980.0,0.2
101,global-temperature,1981.0,0.21
102,global-temperature,1982.0,0.22
103,global-temperature,1983.0,0.21
104,global-temperature,1984.0,0.21
105,global-temperature,1985.0,0.22
106,global-temperature,1986.0,0.24
107,global-temperature,1987.0,0.27
108,global-temperature,1988.0,0.31
109,global-temperature,1989.0,0.33
110,global-temperature,1990.0,0.33
111,global-temperature,1991.0,0.33
112,global-temperature,1992.0,0.33
113,global-temperature,1993.0,0.33
